epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,271.511,1.40129,0.59395,0.94539,0.95546,0.98649,0.99014,0.62174,1.45283,0.5784,0.96526,0.000742625,0.000742625,0.000742625
43,277.95,1.39417,0.5848,0.94982,0.94497,0.98844,0.99039,0.61146,1.47025,0.5793,0.96597,0.00073025,0.00073025,0.00073025
44,284.365,1.40115,0.58241,0.95086,0.95,0.99181,0.98994,0.61205,1.44634,0.5838,0.9642,0.000717875,0.000717875,0.000717875
45,290.871,1.38492,0.58499,0.93897,0.96054,0.97696,0.98903,0.62468,1.45297,0.57379,0.96267,0.0007055,0.0007055,0.0007055
46,297.343,1.40404,0.59096,0.95179,0.96547,0.97986,0.98901,0.62507,1.43559,0.58092,0.9583,0.000693125,0.000693125,0.000693125
47,303.833,1.3955,0.5799,0.94496,0.96377,0.97604,0.99051,0.62192,1.44495,0.56884,0.96261,0.00068075,0.00068075,0.00068075
48,310.307,1.38592,0.57392,0.94626,0.96933,0.97805,0.99101,0.62521,1.43959,0.55787,0.96098,0.000668375,0.000668375,0.000668375
49,316.825,1.37493,0.56585,0.94623,0.96987,0.97827,0.99101,0.63468,1.43474,0.55811,0.96013,0.000656,0.000656,0.000656
50,323.423,1.38252,0.5741,0.94602,0.96852,0.98018,0.9892,0.62036,1.43465,0.56641,0.95735,0.000643625,0.000643625,0.000643625
51,329.866,1.37169,0.56566,0.94336,0.9723,0.97974,0.99057,0.62754,1.43041,0.5549,0.95524,0.00063125,0.00063125,0.00063125
52,336.31,1.38247,0.56744,0.94587,0.96738,0.98572,0.98879,0.6266,1.44894,0.56312,0.95952,0.000618875,0.000618875,0.000618875
53,342.88,1.38591,0.56997,0.93997,0.96892,0.9804,0.9881,0.62734,1.43907,0.56814,0.95671,0.0006065,0.0006065,0.0006065
54,349.272,1.36972,0.56283,0.94256,0.96025,0.98448,0.99038,0.62686,1.4394,0.5545,0.95879,0.000594125,0.000594125,0.000594125
55,355.714,1.37285,0.56416,0.93777,0.95783,0.9854,0.99026,0.62122,1.45993,0.57268,0.96127,0.00058175,0.00058175,0.00058175
56,362.233,1.36852,0.56152,0.93605,0.96636,0.97587,0.98962,0.62946,1.44788,0.56672,0.95542,0.000569375,0.000569375,0.000569375
57,368.669,1.37053,0.55476,0.94007,0.97296,0.96398,0.98986,0.63152,1.43454,0.55619,0.9554,0.000557,0.000557,0.000557
58,375.247,1.36753,0.56003,0.94296,0.97032,0.97713,0.9905,0.63429,1.42522,0.5548,0.95318,0.000544625,0.000544625,0.000544625
59,381.669,1.36572,0.55986,0.94184,0.9749,0.9773,0.99012,0.62186,1.4498,0.55019,0.95652,0.00053225,0.00053225,0.00053225
60,388.123,1.36664,0.55496,0.93441,0.9689,0.97887,0.98877,0.62934,1.4344,0.54771,0.95579,0.000519875,0.000519875,0.000519875
61,394.683,1.35428,0.5507,0.93486,0.96595,0.97516,0.98913,0.63374,1.44503,0.55168,0.9571,0.0005075,0.0005075,0.0005075
62,401.088,1.3545,0.55469,0.93437,0.9683,0.98474,0.98861,0.63069,1.44532,0.55591,0.95507,0.000495125,0.000495125,0.000495125
63,407.555,1.35696,0.55412,0.93104,0.97175,0.97057,0.98998,0.63875,1.44118,0.54972,0.95425,0.00048275,0.00048275,0.00048275
64,413.986,1.34882,0.54718,0.93659,0.97666,0.9775,0.99094,0.63539,1.44431,0.54585,0.95643,0.000470375,0.000470375,0.000470375
65,420.424,1.34061,0.54534,0.93227,0.9656,0.98025,0.99081,0.6327,1.43263,0.54897,0.95185,0.000458,0.000458,0.000458
66,426.837,1.3533,0.55129,0.93406,0.97391,0.97524,0.9912,0.6301,1.44021,0.54599,0.95324,0.000445625,0.000445625,0.000445625
67,433.364,1.33696,0.54225,0.92794,0.97352,0.97545,0.99069,0.62538,1.4436,0.54513,0.95313,0.00043325,0.00043325,0.00043325
